id,name,address,city,state,zip,lat,lng,region,type,sheets,sharpening,food,livebarn,wifi,parking,locker_rooms,on_site_shops,price_public_skate,price_stick_puck,price_dropin,registration_label,registration_url,website,seating_type,viewing,accessible,spectator_notes,facebook_url,instagram_url,tiktok_url,photo_url,claimed,phone,email,skate_rentals,year_round,notes
113,LA Kings Ice Pickwick,1001 W Riverside Dr,Burbank,CA,91506,34.1554,-118.3175,Los Angeles,Indoor,1,,concessions,,,Free,,,,,,LA Kings Ice,,https://www.lakingsicepickwick.com,,,TRUE,,,,,,FALSE,(818) 333-8000,,TRUE,TRUE,"Opened 1961 as Pickwick Ice. Renamed LA Kings Ice at Pickwick Gardens on Jan 1, 2019. Part of LA Kings Ice network. ⚠️ CSV incorrectly listed as permanently closed — confirmed active."
114,LA Kings Iceland at Paramount,8041 Jackson St,Paramount,CA,90723,33.8976,-118.1654,Los Angeles,Indoor,1,,concessions,,,Free,,,,,,LA Kings Ice,,https://www.paramounticeland.com,,,TRUE,,,,,,FALSE,(562) 633-1171,,TRUE,TRUE,"Historic rink, still operating. LA Kings branding partner."
115,LA Kings Iceoplex,131 W Easy St,Simi Valley,CA,93065,34.2798,-118.7814,Los Angeles,Indoor,2,,concessions,,,Free,,,,,,Mariners Youth Hockey / LA Kings HS League,,https://www.iceoplexsimivalley.com,,,TRUE,,,,,,FALSE,(805) 520-7465,,TRUE,TRUE,"Two sheets (NHL + Olympic). 60,000 sq ft. Rebranded as LA Kings Iceoplex Ice Arena in 2023. Home of Mariners Youth Hockey, LA Kings High School League, Titans AAA, CSUN and Cal Lutheran college hockey. Curling league. ⚠️ CSV incorrectly listed as permanently closed — confirmed active."
116,LA Kings Valley Ice Center,8750 Van Nuys Blvd,Panorama City,CA,91402,34.2274,-118.4496,Los Angeles,Indoor,2,,concessions,,,Free,,,,,,LA Kings / California Heat,,https://lakingsvalleyicecenter.com,,,TRUE,,,,,,FALSE,(818) 893-1784,,TRUE,TRUE,"Two-sheet facility. Full hockey programming, public skating, curling, birthday parties, filming. Part of LA Kings Ice network. Home of California Heat hockey."
117,Lake Forest Ice Palace,25821 Atlantic Ocean Dr,Lake Forest,CA,92630,33.6124,-117.6764,Orange County,Indoor,1,,concessions,,,Free,,,,,,South OC Hockey,,https://www.lficepalace.com,,,TRUE,,,,,,FALSE,(949) 305-9658,,TRUE,TRUE,"Established 2012. Serves south Orange County. Youth hockey now runs through Aliso Viejo Ice Palace. Figure skating, public skating, birthday parties."
118,Nazareth Ice Oasis San Mateo,2202 Bridgepointe Pkwy,San Mateo,CA,94404,37.558,-122.256,Bay Area,Indoor,1,,,,,Free,,,,,,Redwood City Black Stars,,https://www.iceoasis.com,,,,,,,,,FALSE,(650) 574-6033,,,TRUE,"NHL-regulation surface (200'x85'). Operated by Nazareth Enterprises. Reopened 2017 at Bridgepointe Shopping Center in San Mateo after years of closure. Home of Redwood City Black Stars hockey club. Public skating, figure skating, hockey leagues."
119,NorCal Ice,900 Twin View Blvd,Redding,CA,96003,40.6209,-122.3704,Northern California,Indoor,1,,,,,Free,,,,,,Redding Hockey,,,,,,,,,,,FALSE,,,,TRUE,"⚠️ Existence unverified — no web presence, phone, or current hockey directory listing found. Do not publish until confirmed by direct contact."
120,North Valley Hockey & Sports Complex,2801 Martin Luther King Jr Pkwy,Chico,CA,95928,39.7154,-121.8159,Northern California,Indoor,1,,,,,Free,,,,,,Chico Hockey,,,,,,,,,,,FALSE,,,,TRUE,Also known as Chico Ice. ⚠️ Phone and website unverified — no current web presence found. Verify before Supabase import.
121,Oakland Ice Center,519 18th St,Oakland,CA,94612,37.8094,-122.267,Bay Area,Indoor,1,,,,,Paid,,,,,,Oakland Hockey,,https://www.oaklandice.com,,,,,,,,,FALSE,(510) 268-9000,,,TRUE,Community hockey rink in downtown Oakland. Part of Sharks Ice network.
122,Ontario Center Ice Arena,201 S Plum Ave,Ontario,CA,91761,34.0628,-117.6514,Inland Empire,Indoor,1,,concessions,,,Free,,TRUE,,,,Empire Hockey Club,,https://www.ontariocenterice.com,,,TRUE,,,,,,FALSE,(909) 986-4231,,TRUE,TRUE,"NHL-size sheet (85'x200'). Home of Empire Hockey Club (youth travel). Pro shop, public skating, figure skating, hockey leagues."
123,Ontario Ice Skating Center,1225 W Holt Blvd,Ontario,CA,91762,34.063,-117.668,Inland Empire,Indoor,1,,concessions,,,Free,,,,,,Ontario Hockey,,https://www.ontarioiceskatingcntr.com,,,TRUE,,,,,,FALSE,(909) 986-0793,,TRUE,TRUE,"2nd oldest ice facility in Southern California. Public skating, figure skating, hockey. Separate from Ontario Center Ice Arena (201 S Plum)."
124,Pasadena Ice Skating Center,300 E Green St,Pasadena,CA,91101,34.1424,-118.1437,Los Angeles,Indoor,1,,concessions,,,Paid,,,,,,Pasadena Hockey,,https://www.skatepasadena.com,,,TRUE,,,,,,FALSE,(626) 578-0800,,TRUE,TRUE,Hockey and figure skating. Year-round.
125,San Diego Ice Arena,11048 Ice Skate Pl,San Diego,CA,92126,32.9184,-117.1604,San Diego,Indoor,1,,concessions,,,Free,,,,,,San Diego Hockey,,https://www.sdice.com,,,TRUE,,,,,,FALSE,(858) 530-1825,,TRUE,TRUE,High-volume public and hockey facility serving north San Diego.
126,Sharks Ice San Jose,1500 S 10th St,San Jose,CA,95112,37.3208,-121.8689,Bay Area,Indoor,4,,restaurant,TRUE,TRUE,Free,,TRUE,,,,San Jose Sharks / Sharks Ice Hockey,,https://www.sharksice.com,,,TRUE,,,,,,FALSE,(408) 999-5757,,TRUE,TRUE,"Largest rink complex in California. Four sheets including SAP Center practice ice. NHL-regulation surfaces. Home of San Jose Barracuda (AHL) and San Jose Sharks practice. Full community programming. Bar, restaurant, pro shop. LiveBarn venue."
127,Skatetown Ice Arena,1009 Orlando Ave,Roseville,CA,95661,38.7403,-121.2635,Northern California,Indoor,2,,restaurant,,,Free,8,TRUE,,,,Roseville Hockey,,https://www.skatetown.biz,,,,,,,,,FALSE,(916) 783-8550,,TRUE,TRUE,"Sacramento area's premier 65,000 sq ft facility. Two NHL-sized rinks. 8 locker rooms, full-service café, skate rental, retail ProShop, party rooms, free parking. Home of Capital City Figure Skating Club, Capital Thunder Youth Hockey, Sacramento Firefighters Hockey Club, Wine Country Curling Club. Founded 1997."
128,Skating Edge Ice Arena,23770 S Western Ave,Harbor City,CA,90710,33.8074,-118.3094,Los Angeles,Indoor,1,,concessions,,,Free,,,,,,South Bay Hockey,,https://www.skatingedgeicearena.com,,,TRUE,,,,,,FALSE,(310) 325-4474,,TRUE,TRUE,Hockey and figure skating.
129,Snoopy's Home Ice,1667 W Steele Ln,Santa Rosa,CA,95403,38.4615,-122.7324,Northern California,Indoor,1,,,,,Free,,,,,,Santa Rosa Flyers,,https://www.snoopyshomeice.com,,,,,,,,,FALSE,(707) 546-7147,,,TRUE,Iconic rink fully renovated. Official name: Redwood Empire Ice Arena. Home of Santa Rosa Flyers youth hockey. Named for Charles M. Schulz (Peanuts creator) who built the original rink in 1969. Smaller than NHL regulation dimensions.
130,Solar4America Ice at Fremont,44388 Old Warm Springs Blvd,Fremont,CA,94538,37.4927,-121.9392,Bay Area,Indoor,1,,,,,Free,,,,,,Santa Clara Blackhawks,,https://www.sharksice.com/fremont,,,,,,,,,FALSE,(510) 623-7200,,,TRUE,Formerly Sharks Ice at Fremont. NHL-regulation surface (200'x85'). Home of Santa Clara Blackhawks youth hockey. Full community programming.
131,South Lake Tahoe Ice Arena,1176 Rufus Allen Blvd,South Lake Tahoe,CA,96150,38.9484,-119.977,Northern California,Indoor,1,,,,,Free,,,,,,Tahoe Grizzlies,,https://tahoearena.co,,,,,,,,,FALSE,(530) 544-7465,,,TRUE,Community hockey rink. Home of Tahoe Grizzlies youth hockey.
132,Stockton Arena Ice Rink (Oak Park),3545 Alvarado Ave,Stockton,CA,95204,37.9577,-121.291,Central California,Indoor,1,,concessions,,,Paid,,,,,,Stockton Heat / Stockton Hockey,,https://www.oakparkicerink.com,,,TRUE,,,,,,FALSE,(209) 937-7433,,,TRUE,Community ice rink at Stockton Arena. Also referred to as Oak Park Ice Rink. Home of Stockton Colts youth hockey.
133,The Cube Ice and Entertainment Center,27745 Smyth Dr,Valencia,CA,91355,34.4436,-118.577,Los Angeles,Indoor,3,,restaurant,TRUE,TRUE,Free,,TRUE,,,,LA Kings / Santa Clarita Hockey,,https://thecubesantaclarita.com,,,TRUE,,,,,,FALSE,(661) 257-2823,,TRUE,TRUE,"Opened April 2021. 93,000 sq ft. Three sheets: NHL rink, Olympic rink, The Pond studio. Owned by City of Santa Clarita, operated by ASEC/LA Kings. Top Shelf beverage center, restaurant. Replaced Ice Station Valencia (closed 2020) at same address."
134,The Rinks – Anaheim ICE,300 W Lincoln Ave,Anaheim,CA,92805,33.8322,-117.9144,Orange County,Indoor,2,,concessions,TRUE,TRUE,Free,,TRUE,,,,Jr. Ducks / Anaheim Ducks,,https://anaheimice.therinks.com,,,TRUE,,,,,,FALSE,(714) 535-7465,,TRUE,TRUE,Major hockey hub. Home of Anaheim Jr. Ducks. Part of The Rinks network (6 ice rinks in SoCal). World-class figure skating — home rink of Ilia Malinin (2026 World Champion) and many elite skaters.
135,The Rinks – KHS ICE,1000 E Cerritos Ave,Anaheim,CA,92805,33.8092,-117.8984,Orange County,Indoor,1,,concessions,,,Free,,,,,,The Rinks / Jr. Ducks,,https://khsice.therinks.com,,,TRUE,,,,,,FALSE,(714) 422-1236,,TRUE,TRUE,"Part of The Rinks network. Public skating, youth and adult hockey, figure skating, girls hockey, learn to skate. Official home of Jr. Ducks programs."
136,The Rinks – Lakewood ICE,3975 Pixie Ave,Lakewood,CA,90712,33.8326,-118.1414,Los Angeles,Indoor,1,,concessions,,,Free,,,,,,The Rinks,,https://lakewoodice.therinks.com,,,TRUE,,,,,,FALSE,(562) 429-1805,,TRUE,TRUE,Part of The Rinks network. Hockey and figure skating programming. CSV listed as Orange County — corrected to Los Angeles County (Lakewood).
137,The Rinks – Poway ICE,12455 Kerran St,Poway,CA,92064,32.9409,-117.0364,San Diego,Indoor,1,,concessions,,,Free,,,,,,San Diego Gulls / San Diego Saints,,https://powayice.therinks.com,,,TRUE,,,,,,FALSE,(858) 956-0045,,TRUE,TRUE,Part of The Rinks network. Official practice facility of the San Diego Gulls (AHL). Home of San Diego Saints travel hockey. Full youth and adult hockey programming.
138,The Rinks – Westminster ICE,13071 Springdale St,Westminster,CA,92683,33.7778,-117.9994,Orange County,Indoor,1,,concessions,,,Free,,,,,,The Rinks,,https://westminstericerink.therinks.com,,,TRUE,,,,,,FALSE,(714) 899-7900,,TRUE,TRUE,Part of The Rinks network. Hockey and figure skating programming.
139,The Rinks – Yorba Linda ICE,23641 La Palma Ave,Yorba Linda,CA,92887,33.8721,-117.7264,Orange County,Indoor,1,,concessions,,,Free,,,,,,The Rinks / Jr. Ducks,,https://yorbalindaice.therinks.com,,,TRUE,,,,,,FALSE,(714) 692-8776,,TRUE,TRUE,Part of The Rinks network. Hockey and figure skating programming.
140,Toyota Sports Performance Center,555 N Nash St,El Segundo,CA,90245,33.9165,-118.3932,Los Angeles,Indoor,3,,concessions,TRUE,TRUE,Free,,TRUE,,,,LA Kings Hockey Development,,https://www.toyotasportsperformancecenter.com,,,TRUE,,,,,,FALSE,(310) 535-4400,,TRUE,TRUE,LA Kings NHL practice facility. Three sheets. Community hockey and skating programs. Off-ice training center. Keck Medicine of USC on-site. LiveBarn venue. Part of LA Kings Ice network.
141,Tri-Valley Ice,661 Preston Ave,Livermore,CA,94551,37.7024,-121.7194,Bay Area,Indoor,1,,concessions,,,Free,,,,,,Tri-Valley Minor Hockey,,https://www.trivalleyice.com,,,TRUE,,,,,,FALSE,(925) 606-6900,,TRUE,TRUE,Full hockey programming. Home of Tri-Valley Minor Hockey Association. Alternate rink for Dublin-area teams.
142,TriValley Ice,7212 San Ramon Rd,Dublin,CA,94568,37.708,-121.936,Bay Area,Indoor,1,,,,,Free,,,,,,Tri-Valley Blue Devils,,https://www.dubliniceland.com,,,,,,,,,FALSE,(925) 829-4445,,,TRUE,Formerly Dublin Iceland. CSV incorrectly listed as permanently closed — confirmed active as of April 2026. Home of Tri-Valley Blue Devils and Tri-Valley Minor Hockey Association. Sheet is smaller than NHL regulation dimensions.
143,Vacaville Ice Sports,551 Davis St,Vacaville,CA,95688,38.3566,-121.9914,Northern California,Indoor,1,,,,,Free,,,,,,Vacaville Hockey,,https://www.vacavilleicesports.com,,,,,,,,,FALSE,(707) 455-0225,,,TRUE,Full hockey programming and public skating.
144,Valley Children's Ice Center,1325 Q St,Bakersfield,CA,93301,35.3733,-119.0187,Central California,Indoor,1,,concessions,,,Free,4,TRUE,,,,Bakersfield Jr. Condors,,https://www.bakersfieldicesports.com,seats,,TRUE,,,,,,FALSE,(661) 852-7400,,TRUE,TRUE,"Also known as Bakersfield Ice Sports Center. Completed 2003. Regulation NHL rink, 500 seating. Home of Bakersfield Jr. Condors (formerly Bakersfield Dragons), Kern County Knights, Bakersfield Roughnecks (USPHL), Bakersfield Oilers (ASHA). Bakersfield Condors (AHL) used for occasional practices. Pro shop, snack bar, locker rooms. Special needs hockey program."
145,Yerba Buena Ice Skating & Bowling Center,750 Folsom St,San Francisco,CA,94107,37.7838,-122.4009,Bay Area,Indoor,1,,concessions,,,Paid,,,14,,,SF Sabercats Hockey,,https://www.skatebowl.com,,,TRUE,,,,,,FALSE,(415) 820-3521,,TRUE,TRUE,"San Francisco's only year-round indoor ice rink. NHL-size sheet. Public skating, skating school, adult hockey leagues, synchronized skating (the Tremors), figure skating. Bowling alley also on-site. ⚠️ Management changing in summer 2026 — rink closing July 2026 for renovations, reopening ~August 2026 under Yerba Buena Gardens Conservancy. Inspired the hockey arena in Pixar's Inside Out 2 (2024). Admission $14; skate rental $5."
146,Bolton Ice Palace,145 Hop River Rd,Bolton,CT,6043,41.7709,-72.4318,Northern Connecticut,Indoor,1,,concessions,,,Free,,TRUE,,,,Bolton Youth Hockey,,https://www.boltonicepalace.com,,,TRUE,,,,,,FALSE,(860) 646-7851,,TRUE,TRUE,"Owned by Black Bear Sports Group. Opened 1972. 33,000 sq ft. One NHL-sized sheet. Bolton Hockey Supply Shop on-site. Classic New England community rink."
147,Champions Skating Center,6 Progress Dr,Cromwell,CT,6416,41.6128,-72.6684,Central Connecticut,Indoor,2,,concessions,,,Free,,TRUE,,,,Hartford Jr. Wolfpack,,https://championsskatingcenter.com,,,TRUE,,,,,,FALSE,(860) 632-0323,,TRUE,TRUE,"Owned by Black Bear Sports Group. 95,000 sq ft. One NHL-sized + one Olympic-sized sheet. 25-yard swimming pool (Champions Training and Aquatic Center). Pro shop. Home of Hartford Jr. Wolfpack. Part of multiple CHC programs."
148,Chelsea Piers Connecticut,1 Blachley Rd,Stamford,CT,6902,41.053,-73.52,Western Connecticut,Indoor,2,,concessions,,,Free,,TRUE,,,,Stamford Hockey / NY Metro,,https://chelseapiersct.com,,,TRUE,,,,,,FALSE,(203) 989-1000,,TRUE,TRUE,"Two-sheet facility serving the NY metro/Stamford market. Part of Chelsea Piers brand (related to NYC facility). Full hockey programming, figure skating, public skating. Heavily used by NY-area hockey families."
149,Danbury Ice Arena,1 Independence Way,Danbury,CT,6810,41.3945,-73.454,Western Connecticut,Indoor,2,,concessions,,,Free,8,,,,,Danbury Jr. Hat Tricks,,https://www.danburyice.com,,,TRUE,,,,,,FALSE,(203) 794-1704,,TRUE,TRUE,Two-sheet facility. Former home of Danbury Whalers/Hat Tricks professional hockey. Home of Danbury Jr. Hat Tricks youth hockey.
150,Edward L. Bennett Rink,1 McDonough Plaza,West Haven,CT,6516,41.2704,-72.9574,Western Connecticut,Indoor,1,,concessions,,,Free,,,,,,West Haven Hockey,,https://www.bennettrink.com,,,TRUE,,,,,,FALSE,(203) 931-6890,,TRUE,TRUE,"Municipal rink. Home of West Haven high school hockey. ⚠️ CSV listed address as ""1 Circle St"" — corrected to 1 McDonough Plaza per CT rink directory."
151,Enfield Twin Rinks,1 Prior Rd,Enfield,CT,6082,41.9874,-72.5639,Northern Connecticut,Indoor,2,,concessions,,,Free,,TRUE,,,,MASSCONN United / Enfield Hockey Association,,https://www.enfieldtwinrinks.com,,,TRUE,,,,,,FALSE,(860) 745-2461,,TRUE,TRUE,Owned by Black Bear Sports Group. Two-sheet facility. Home of MASSCONN United Hockey Club and Enfield Hockey Association. Full hockey programming.
152,Louis Astorino Ice Arena,595 Mix Ave,Hamden,CT,6514,41.36793,-72.92516,South Central Connecticut,Indoor,1,,,,,Free,,,,,,Hamden High School Hockey,,,,,TRUE,,,,,,FALSE,(203) 287-2610,,TRUE,TRUE,Located at Hamden High School. Home of prestigious Hamden High School hockey. Strong New England hockey tradition. Under current management since 2010. ⚠️ Website unverified.
153,Milford Ice Pavilion,219 Bic Dr,Milford,CT,6461,41.2241,-73.0552,Western Connecticut,Indoor,1,,concessions,,,Free,,,,,,Milford Hockey,,https://www.milfordice.com,,,TRUE,,,,,,FALSE,(203) 878-6516,,TRUE,TRUE,"Owned by Black Bear Sports Group. Opened 1975. 36,220 sq ft. NHL-sized sheet. Youth hockey, public skating. ⚠️ CSV listed address as 291 Sub Way — corrected to 219 Bic Dr per CT rink directory."
154,Newington Arena,300 Alumni Rd,Newington,CT,6111,41.6822,-72.731,Central Connecticut,Indoor,2,,restaurant,,,Free,,TRUE,,,,Newington Hockey,,https://www.newingtonarena.com,,,TRUE,,,,,,FALSE,(860) 665-7825,,TRUE,TRUE,"Owned by Black Bear Sports Group. Opened 1999. 61,600 sq ft. Two NHL-sized sheets. Arena Golf, Future Fitness Training, Pro Shop of Newington, Arena Grill, Elite Chiropractic on-site. Strong youth and adult hockey programming."
155,Northford Ice Pavilion,24 Fire-Lite Pl,North Branford,CT,6472,41.3816,-72.7695,Central Connecticut,Indoor,2,,concessions,,,Free,,TRUE,,,,North Branford Youth Hockey,,https://www.northfordice.com,,,TRUE,,,,,,FALSE,(203) 484-4054,,TRUE,TRUE,"Two-sheet facility (corrected from CSV listing of 3). Founded 1998. Major youth hockey hub. City is North Branford — Northford is a village within North Branford. Public skating, hockey leagues, learn-to-skate. Pro shop on-site."
156,Patsy DiLungo Veterans Memorial Ice Rink,71 Hudson St,East Haven,CT,6512,41.28554,-72.86563,South Central Connecticut,Indoor,1,,,,,Free,,,,,,East Haven Hockey,,,,,TRUE,,,,,,FALSE,(203) 468-3367,,TRUE,TRUE,Full official name: Patsy DiLungo Veterans Memorial Ice Rink. CSV listed as 'East Haven Veterans Memorial Ice Rink.' Full hockey programming and public skating.
157,RoseGarden Ice Arena,641 New London Tpke,Norwich,CT,6360,41.5244,-72.0932,Eastern Connecticut,Indoor,1,,concessions,,,Free,,,,,,Norwich Youth Hockey,,https://www.rosegardenicearena.com,,TRUE,TRUE,,,,,,FALSE,(860) 892-2555,,TRUE,TRUE,"City of Norwich-owned facility. Primary rink for eastern Connecticut. Public skating, youth and adult hockey, figure skating. Heated spectator viewing area."
158,Simsbury Farms Ice Rink,100 Old Farms Rd,Simsbury,CT,6070,41.8684,-72.8233,Northern Connecticut,Indoor,1,,,,,Free,,,,,,Simsbury Hockey,,https://www.simsburyrec.com,,,TRUE,,,,,,FALSE,(860) 658-3836,,TRUE,FALSE,"Municipal seasonal rink at Simsbury Farms Recreation Area. Hockey-capable. Note: separate from International Skating Center of Connecticut (1375 Hopmeadow St, Simsbury) which is a distinct major facility."
159,SoNo Ice House,300 Wilson Ave,Norwalk,CT,6854,41.0952,-73.4231,Western Connecticut,Indoor,1,,concessions,,,Free,,,,,,Norwalk Hockey,,https://www.sonoice.com,,,TRUE,,,,,,FALSE,(203) 956-0255,,TRUE,TRUE,Full hockey programming and public skating. South Norwalk area.
160,South Windsor Arena,585 John Fitch Blvd,South Windsor,CT,6074,41.8522,-72.5594,Northern Connecticut,Indoor,1,,concessions,,,Free,,TRUE,,,,South Windsor Youth Hockey,,https://www.southwindsorarena.com,,,TRUE,,,,,,FALSE,(860) 289-3401,,TRUE,TRUE,Family-owned since 1972. Also home to Hockey1 — described as the single largest hockey retailer and wholesale distributor in the country. Full community hockey programming.
161,Sports Center of Connecticut,784 River Rd,Shelton,CT,6484,41.3168,-73.093,Western Connecticut,Indoor,2,,concessions,,,Free,8,,,,,Shelton Hockey,,https://www.rinksatshelton.com,,,TRUE,,,,,,FALSE,(203) 929-6500,,TRUE,TRUE,"Large two-sheet facility. Also known as The Rinks at Shelton. ⚠️ CSV listed name as ""The Rinks at Shelton"" — official name is Sports Center of Connecticut."
162,Stamford Twin Rinks,1063 Hope St,Stamford,CT,6907,41.0809,-73.5184,Western Connecticut,Indoor,2,,concessions,,,Free,8,,,,,Stamford Youth Hockey,,https://www.stamfordtwinrinks.com,,,TRUE,,,,,,FALSE,(203) 968-9000,,TRUE,TRUE,Opened 1996. Premier two-sheet facility serving lower Fairfield County. Home of Stamford Youth Hockey. Strong youth and adult hockey programming.
163,Terry Conners Rink,1125 Cove Rd,Stamford,CT,6902,41.0399,-73.5284,Western Connecticut,Indoor,1,,concessions,,,Free,,,,,,Stamford Youth Hockey / Stamford High School,,https://www.tcrink.com,,,TRUE,,,,,,FALSE,(203) 977-4728,,TRUE,TRUE,"City-owned municipal rink. Home of Stamford Youth Hockey, Skating Club of Southern CT, Terry Conners Synchronized Skating Teams, Stamford/Westhill and StamfordWesthill/Staples high school hockey. Learn-to-skate year-round."
164,Veterans Memorial Skating Rink,56 Buena Vista Rd,West Hartford,CT,6107,41.75026,-72.76815,Central Connecticut,Indoor,1,,concessions,,,Free,,TRUE,,,,West Hartford Youth Hockey / West Hartford Figure Skating Club,,https://www.westhartfordct.gov/town-departments/leisure-services/skating-rink,,,TRUE,,,,,,FALSE,(860) 561-8290,,TRUE,TRUE,"Town of West Hartford municipal rink. NHL-size surface (200'x85'). Climate-controlled. RinkSide Cafe, pro shop. ⚠️ CLOSED March 30, 2026 for large-scale renovations — planned reopening August 1, 2026. Do not publish as open until reopening confirmed."
165,Winter Garden Ice Arena,111 Prospect Ridge,Ridgefield,CT,6877,41.2816,-73.5002,Western Connecticut,Indoor,2,,concessions,,,Free,8,,,,,Ridgefield Hockey Association,,https://www.wintergardenarena.com,,,TRUE,,,,,,FALSE,(203) 438-4423,,TRUE,TRUE,"Long-standing two-sheet community rink. One of the largest youth programs in Connecticut. Full recreational skating, figure skating, youth and adult hockey."
166,XL Center,1 Civic Center Plaza,Hartford,CT,6103,41.7683,-72.674,Central Connecticut,Indoor,1,,concessions,,,Paid,,,,,,Hartford Wolf Pack (AHL),,https://www.xlcenter.com,,,TRUE,,,,,,FALSE,(860) 249-6333,,,TRUE,Major event arena. Home of Hartford Wolf Pack (AHL affiliate of NY Rangers). Also home to UConn Huskies men's hockey. ⚠️ CSV described as 'practice sheet' — corrected: XL Center is the primary NHL-caliber event arena in Hartford.
167,Fred Rust Arena (University of Delaware),547 S College Ave,Newark,DE,19716,39.6618,-75.7494,Northern Delaware,Indoor,2,,concessions,,,Paid,,,,,,UD Blue Hens Hockey,,https://sites.udel.edu/icearena,,,TRUE,,,,,,FALSE,(302) 831-2868,,TRUE,TRUE,"University of Delaware facility. Two sheets: Gold Arena + Blue Arena. Home of UD Blue Hens club hockey. CSV listed as 'University of Delaware Ice Arenas' — official name is Fred Rust Arena. Public skating, youth hockey, figure skating, learn-to-skate."
168,Patriot Ice Center,101 John F Campbell Dr,Newark,DE,19711,39.6694,-75.7583,Northern Delaware,Indoor,2,,concessions,,,Free,,TRUE,,,,Delaware Ducks,,https://www.patrioticecenter.com,,,TRUE,,,,,,FALSE,(302) 266-0777,,TRUE,TRUE,"Opened 1996. 67,019 sq ft. Two sheets: NHL-sized + Olympic-sized. Home of Delaware Ducks youth travel hockey and Pond Penguins. Youth, high school, and adult hockey leagues. Figure skating, public skating, fitness center, pro shop. Formerly known as The Pond Ice Arena — CSV listed as 'The Pond Ice Arena' which has been rebranded."
169,AdventHealth Center Ice,3173 Cypress Ridge Blvd,Wesley Chapel,FL,33544,28.1938,-82.3614,Tampa Bay,Indoor,5,,restaurant,TRUE,TRUE,Free,,TRUE,,,,Tampa Jr. Lightning / AHCI Hockey,,https://www.ahcenterice.com,,,TRUE,,,,,,FALSE,(813) 431-0466,,TRUE,TRUE,"Largest ice facility in the Southeast. 150,000+ sq ft. Five sheets: 3 NHL-regulation + 1 Olympic/International + 1 mini-rink. LiveBarn venue. Curling, hockey, figure skating. Home of Tampa Jr. Lightning and USPHL Premier/Elite programs. Off I-75 exit 275."
170,Baptist Health IcePlex at War Memorial,100 NE 3rd Ave,Fort Lauderdale,FL,33301,26.1245,-80.1418,South Florida,Indoor,2,,concessions,,,Paid,,TRUE,,,,Florida Panthers / Jr. Panthers,,https://www.ftlwarmemorial.com,,,TRUE,,,,,,FALSE,(954) 828-5380,,TRUE,TRUE,"Florida Panthers partner facility at Fort Lauderdale War Memorial. Two regulation-sized sheets. Full youth and adult hockey, public skating, figure skating. Home of Southeast Florida's first dedicated Girls Hockey program. Pantherland — 7,500 sq ft Florida Panthers flagship retail store on-site."
171,Barbara Medina Ice Rink at Scott Rakow Youth Center,2700 Sheridan Ave,Miami Beach,FL,33140,25.795,-80.138,South Florida,Indoor,1,,concessions,,,Paid,,,11,,,Miami Beach Hockey,,https://www.miamibeachfl.gov/city-hall/parks-and-recreation/parks-facilities-directory/sryc,,,TRUE,,,,,,FALSE,(305) 673-7000,,TRUE,TRUE,"12,885 sq ft NHL-size rink inside Scott Rakow Youth Center. City of Miami Beach municipal facility. Free for Miami Beach residents, $11 non-residents. Youth hockey clinics, stick & puck, figure skating, public skating. Also has bowling, pool, gym."
172,Boca Ice,900 Peninsula Corp Cir,Boca Raton,FL,33487,26.395,-80.102,South Florida,Indoor,2,,restaurant,,,Free,,TRUE,,,,Boca Barracudas Hockey,,https://www.bocaice.com,,,TRUE,,,,,,FALSE,(561) 217-5283,,TRUE,TRUE,"Modern 73,000 sq ft facility. Two NHL-size sheets + ice bumper cars + indoor alpine ski/snowboard slope. ICE Bar, DJ nights. Home of Boca Barracudas hockey. Bumper cars on ice unique to South Florida."
173,Clearwater Ice Arena,13940 Icot Blvd,Clearwater,FL,33760,27.8996,-82.6954,Tampa Bay,Indoor,2,,concessions,,,Free,,,,,,Tampa Bay Skating Club / Clearwater Hockey,,https://www.clearwatericearena.com,,,TRUE,,,,,,FALSE,(727) 536-5843,,TRUE,TRUE,Two-sheet facility. Part of Tampa Bay Ice network (TBSA). Full hockey programming and figure skating.
174,Community First Igloo,3605 Philips Hwy,Jacksonville,FL,32207,30.2814,-81.6328,North Florida,Indoor,2,,concessions,,,Free,,TRUE,,,,Jacksonville Hockey,,https://www.communityfirstigloo.com,,,TRUE,,,,,,FALSE,(904) 399-3223,,TRUE,TRUE,Two-sheet facility. Formerly Jacksonville Ice & Sportsplex. Primary hockey venue in North Florida.
175,Daytona Ice Arena,2400 S Ridgewood Ave,South Daytona,FL,32119,29.1674,-81.0048,Central Florida,Indoor,1,,concessions,,,Free,,,,,,Daytona Hockey,,https://www.daytonaicearena.com,,,TRUE,,,,,,FALSE,(386) 256-3963,,TRUE,TRUE,"NHL-size surface. Thaw Zone Cafe on-site. Home to collegiate club hockey and adult leagues. 13 public skating sessions per week, 300+ hockey games per year."
176,Ellenton Ice and Sports Complex,5309 29th St E,Ellenton,FL,34222,27.529,-82.519,Tampa Bay,Indoor,2,,concessions,,,Free,,TRUE,,,,Ellenton Hockey,,https://www.ellentonice.com,,,,,,,,,FALSE,(941) 723-3663,,,TRUE,"115,000 sq ft facility. Two NHL-size sheets + indoor roller/ball hockey rink + gym + fitness studio + dance studio + off-ice training + pro shop + party rooms. Formerly known as the Igloo. Tampa Bay Lightning partner rink."
